Datetime,Tweet Id,Text,Username
2023-03-30 20:54:07+00:00,1641544354144612352,"Pwani University Comrades are on strike demanding answers from the University Administration as to why they  allowed a ""faulty bus"" to  leave the school
.
#PwaniUniversity #Raila #Quickmart57 #RailaOdinga https://t.co/Pd7jl8dhpi",novasbuzz
2023-03-30 20:53:01+00:00,1641544080546054144,"When life puts you in tough situations, don't say ""why me?"" say ""try me"". #kenyandictionary #dailyquotes #quotes #kenyanquotes #MaandamanoThursdays https://t.co/vThrzgUmhG",Ke_Dictionary
2023-03-30 20:51:31+00:00,1641543701817114625,#kenya #MaandamanoThursdays,HarryGodfirst
2023-03-30 20:51:22+00:00,1641543662474792969,"#PwaniUniversity RIP [#MaandamanoThursdays , Rigathi Gachagua, Boutross, Citizen TV, #RailaOdinga , KDD 233P]

https://t.co/xyxL5Ov6KU https://t.co/Kmy6Jn6Vsi",TheeHub_KE
2023-03-30 20:51:02+00:00,1641543578710159366,@RailaOdinga #mandamano #Azimio From the pictures seen you were in such a close range that the bullets wouldn't have missed you.. And why have you not shared pictures showing the seven bullets impact on your car🤔 wakenya wajinga waliisha buanaa,High96121553
2023-03-30 20:50:31+00:00,1641543449911459847,"Jokisumo are awakening the dead, taking demos into a morgue, #awuoro #MaandamanoThursdays Arrest them wuon Lupita, arrest these criminals professor father to award winning actress makgi .",valerieagure
2023-03-30 20:48:39+00:00,1641542981240102912,#Kenya #MaandamanoThursdays,HarryGodfirst
2023-03-30 20:46:18+00:00,1641542388861620230,Video of the week #MaandamanoThursdays  @gabrieloguda  @RailaOdinga https://t.co/LmqVkwPY9R,johnmark254
2023-03-30 20:45:26+00:00,1641542170191486980,#Oyugis  #MaandamanoThursdays https://t.co/YgiAksHsJn,johnmark254
2023-03-30 20:45:03+00:00,1641542072275533827,Police sources #MaandamanoThursdays  @AzimioTv https://t.co/LzMCBwBJIR,johnmark254
2023-03-30 20:44:36+00:00,1641541960916688897,"@paulinenjoroge Friend of mine from army confirmed with me that he refused to be recruited as undercover during maandamano.
Soldiers are being used. Stay Alert! #MaandamanoThursdays",doctorsaid001
2023-03-30 20:44:36+00:00,1641541959667060743,"Matchday 3
Juakali 3-1 police
Oyugis 6-0 police 
Kondele 1-1 police extra time kondele won 
Half time 😂😆😆😂
#MaandamanoThursdays",johnmark254
2023-03-30 20:44:02+00:00,1641541816398024714,"...going through footage of #MaandamanoThursdays &amp; honestly, I doubt whether both the government &amp; opposition know the monster they are feeding... a few more steps forward &amp; no one will able to tame this... over to you President @WilliamsRuto &amp; @RailaOdinga ...",KibisuMulanda
2023-03-30 20:43:38+00:00,1641541719002071040,We play too much. Tears. #MaandamanoThursdays #Raila,bnamwene
2023-03-30 20:43:21+00:00,1641541644594864130,It's only in Kenya  #MaandamanoThursdays  Kisumu #Raila https://t.co/9BB8mfwLWz,Bobby88Bob
2023-03-30 20:42:47+00:00,1641541502613753857,RIP COMRADE..#PwaniUniversity..#RailaOdinga.. https://t.co/BOhLTJYvKR,Briyan1998
2023-03-30 20:40:23+00:00,1641540899455762432,#Maandamano Cypher #Nairobi #RailaOdinga #MaandamanoMondays #imaradaima #edwinsifuna #luos https://t.co/NDecvlTPOM,AceprinceP
