username,lemmatized_text,extract_hashtags
BlaqAnarchist,  Gava back successful tour Europe supportive statement AU West week seem clear convince world opinion Raila treat terrorist dialogue Handcheque,MaandamanoThursdays Raila
Reptile_ke,  ’ call end PROTESTS call police BRUTALITY call PROTECTION human right call end INTIMIDATION ’ ask continuation OPPRESSION,MaandamanoThursdays
BrianKosgeiii,  Ruto hio kura nilikupea August ilikua ya kwanza na ya mwishohuwezi Hubiri maji na wewe unatumia pombe Mahn promise lot Police Brutalitybut instead turn face Police Brutality Rails Odinga Ruto Gachagua Pwani University,MaandamanoThursdays
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga
vinnymongare,  man pay kill peaceful demonstrator Tassia photoshop,MaandamanoThursdays
ZakayoGichuhi,  guy compensate infamous handshake uhuru Kenyatta ama aliserve purpose yake forget many u dust settle,Raila MaandamanoThursdays
BeingCharlie,  Living DANGEROUS time,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
_KAISERTONIZZ,  RAILA ODINGA : car hit 7 live bullet aim RANDOM FB USER : blame officer miss target jail life Kenyans surely,MaandamanoThursdays
BeingCharlie,  Mothers,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
Roy_koech7,  KDD 233P medium accomplishes treason teargas,MaandamanoThursdays Raila
BeingCharlie,  DP Rigathi Gachagua,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
BeingCharlie,  Sad,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
HajjAbdiwahid,  STAND solidarity BABA better kill 15M us first,MaandamanoThursdays
BeingCharlie,  Following DP Rigathi Gachagua order letter Expect nothing well,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
bonifacemwangi,  Kenya Police work Protests always begin peacefully show violenceA teargas grenade shot directly person kill shock COMPLETELY stop heart Killer Police Force,MaandamanoThursdays
RecordTVKenya,  ALTERED NUMBER PLATE clearly seem vehicle one allegedly attack number plate awfully alter KDD 233P KBB 233B divide 2,MaandamanoThursdays
billafriking,  dont know journalist badly hurt KDD 233P,MaandamanoThursdays Maandamano Demonstrations RailaOdinga azimio
lalita_kip,  vote lead Nation one influence dialogue/ Handshake neither international influence,MaandamanoThursdays Raila pipeline
BeingCharlie,  Regrettable scene witness today Rogue police Thugs amp looter Affront press,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis Daybreak WayForward
kaddy76006924,  Sasa hata maiti mnaiba,MaandamanoThursdays
Mutwiried,  Everything government right focus next election~Khelef Khalifa,MaandamanoThursdays maandamano
_pablo254,  Jakom rethink conduct juu victim mazee wanasuffer,MaandamanoThursdays
TradearlNewsSvc,  Azimio protester Kisumu vandalize loot newly open Kwee funeral home Jaramogi Oginga Odinga Teaching Referral Hospital Governor Nyongo condemn attack call perpetrator apprehend,MaandamanoThursdays TradearlNews
fokango,  ’ call end PROTESTS call police BRUTALITY call PROTECTION human right call end INTIMIDATION ’ ask continuation OPPRESSION,MaandamanoThursdays
Kilemi_Andrine,  Hii nayo imeenda,MaandamanoThursdays Nairobi
black_pablo1,  Old men start war youth die fight,MaandamanoThursdays
Kipchumba786,  dont take disciplinary action rogue officer constantly bay innocent blood sell soul nation devil,MaandamanoThursdays
Itumbiparody,  Inspector General police Japhet Koome recall police miss target save us maandamanos another,MaandamanoMondays
joncaleaf1,  colonize fellow countryman constitution allow us picket freedom expression one take away freedom Kenyan citizen,MaandamanoThursdays MaandamanoMondays
